year,state,candidate,party_detailed,candidatevotes,totalvotes,percvotes,electoral_votes,perc_e_votes,vote_frac,vote_int
1976,CONNECTICUT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,1789,1386355,0.12904342682790482,8,0.010323474146232385,0.010323474146232385,0
1976,DELAWARE,"CARTER, JIMMY",DEMOCRAT,122461,235642,51.969088702353574,3,1.5590726610706072,0.5590726610706072,1
1976,DELAWARE,"FORD, GERALD",REPUBLICAN,109780,235642,46.587620203529085,3,1.3976286061058725,0.3976286061058725,1
1976,DELAWARE,"ANDERSON, THOMAS J.",AMERICAN,645,235642,0.27372030452975277,3,0.008211609135892584,0.008211609135892584,0
1976,DELAWARE,"LAROUCHE, LYNDON, JR.",U.S. LABOR,135,235642,0.057290296296924996,3,0.0017187088889077497,0.0017187088889077497,0
1976,DELAWARE,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,103,235642,0.043710374211727965,3,0.0013113112263518389,0.0013113112263518389,0
1976,DISTRICT OF COLUMBIA,"CARTER, JIMMY",DEMOCRAT,137818,168830,81.63122667772316,3,2.448936800331695,0.4489368003316949,2
1976,DISTRICT OF COLUMBIA,"FORD, GERALD",REPUBLICAN,27873,168830,16.509506604276492,3,0.49528519812829475,0.49528519812829475,0
1976,FLORIDA,"CARTER, JIMMY",DEMOCRAT,1636000,3150631,51.92610623078361,17,8.827438059233213,0.8274380592332129,8
1976,FLORIDA,"FORD, GERALD",REPUBLICAN,1469531,3150631,46.64243448375897,17,7.929213862239025,0.9292138622390249,7
1976,FLORIDA,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,23643,3150631,0.7504211061212818,17,0.1275715880406179,0.1275715880406179,0
1976,FLORIDA,"ANDERSON, THOMAS J.",AMERICAN,21325,3150631,0.6768485424030932,17,0.11506425220852584,0.11506425220852584,0
1976,GEORGIA,"CARTER, JIMMY",DEMOCRAT,979409,1463152,66.93829485931741,12,8.032595383118089,0.03259538311808896,8
1976,GEORGIA,"FORD, GERALD",REPUBLICAN,483743,1463152,33.06170514068258,12,3.9674046168819093,0.9674046168819093,3
1976,HAWAII,"CARTER, JIMMY",DEMOCRAT,147375,291301,50.59199934088795,4,2.023679973635518,0.023679973635517992,2
1976,HAWAII,"FORD, GERALD",REPUBLICAN,140003,291301,48.061283689379714,4,1.9224513475751885,0.9224513475751885,1
1976,HAWAII,"MACBRIDE, ROGER",LIBERTARIAN,3923,291301,1.3467169697323387,4,0.05386867878929355,0.05386867878929355,0
1976,IDAHO,"FORD, GERALD",REPUBLICAN,204151,340932,59.880269379231045,4,2.3952107751692417,0.39521077516924175,2
1976,IDAHO,"CARTER, JIMMY",DEMOCRAT,126549,340932,37.11854563373341,4,1.4847418253493365,0.4847418253493365,1
1976,IDAHO,"MADDOX, LESTER",AMERICAN,5935,340932,1.7408163504745815,4,0.06963265401898326,0.06963265401898326,0
1976,IDAHO,"MACBRIDE, ROGER",LIBERTARIAN,3558,340932,1.0436098694167752,4,0.04174439477667101,0.04174439477667101,0
1976,IDAHO,"LAROUCHE, LYNDON, JR.",U.S. LABOR,739,340932,0.21675876714418127,4,0.00867035068576725,0.00867035068576725,0
1976,ILLINOIS,"FORD, GERALD",REPUBLICAN,2364269,4721282,50.07684353529401,26,13.019979319176443,0.0199793191764428,13
1976,ILLINOIS,"CARTER, JIMMY",DEMOCRAT,2271295,4721282,48.107590268914244,26,12.507973469917705,0.5079734699177045,12
1976,ILLINOIS,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,55939,4721282,1.184826494159849,26,0.3080548884815607,0.3080548884815607,0
1976,ILLINOIS,"HALL, GUS",COMMUNIST PARTY USE,9250,4721282,0.1959213620368366,26,0.05093955412957752,0.05093955412957752,0
1976,ILLINOIS,"MACBRIDE, ROGER",LIBERTARIAN,8057,4721282,0.17065280150603163,26,0.04436972839156822,0.04436972839156822,0
1976,ILLINOIS,"CAMEJO, PETER",SOCIALIST WORKERS,3615,4721282,0.07656818635277453,26,0.019907728451721375,0.019907728451721375,0
1976,ILLINOIS,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,2422,4721282,0.05129962582196954,26,0.013337902713712081,0.013337902713712081,0
1976,ILLINOIS,"LAROUCHE, LYNDON, JR.",U.S. LABOR,2018,4721282,0.04274262795571203,26,0.011113083268485128,0.011113083268485128,0
1976,INDIANA,"FORD, GERALD",REPUBLICAN,1183958,2220362,53.322746471070936,13,6.9319570412392215,0.9319570412392215,6
1976,INDIANA,"CARTER, JIMMY",DEMOCRAT,1014714,2220362,45.70038579294727,13,5.941050153083146,0.9410501530831459,5
1976,INDIANA,"ANDERSON, THOMAS J.",AMERICAN,14048,2220362,0.632689624484656,13,0.08224965118300528,0.08224965118300528,0
1976,INDIANA,"CAMEJO, PETER",SOCIALIST WORKERS,5695,2220362,0.2564897075341768,13,0.03334366197944299,0.03334366197944299,0
1976,INDIANA,"LAROUCHE, LYNDON, JR.",U.S. LABOR,1947,2220362,0.08768840396295739,13,0.01139949251518446,0.01139949251518446,0
1976,IOWA,"FORD, GERALD",REPUBLICAN,632864,1279303,49.469437654722924,8,3.957555012377834,0.957555012377834,3
1976,IOWA,"CARTER, JIMMY",DEMOCRAT,619931,1279303,48.458496540694426,8,3.8766797232555543,0.8766797232555543,3
1976,IOWA,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,20057,1279303,1.5678068448209688,8,0.1254245475856775,0.1254245475856775,0
1976,IOWA,"ANDERSON, THOMAS J.",AMERICAN PARTY OF IOWA,3041,1279303,0.23770756419706668,8,0.019016605135765335,0.019016605135765335,0
1976,IOWA,"MACBRIDE, ROGER",LIBERTARIAN,1454,1279303,0.11365563904719993,8,0.009092451123775994,0.009092451123775994,0
1976,IOWA,"HALL, GUS",COMMUNIST PARTY USE,551,1279303,0.04307032813961978,8,0.0034456262511695823,0.0034456262511695823,0
1976,IOWA,SCATTERING,WRITE-IN,509,1279303,0.03978729042298814,8,0.0031829832338390513,0.0031829832338390513,0
1976,IOWA,"CAMEJO, PETER",SOCIALIST WORKERS,262,1279303,0.020479901946606864,8,0.0016383921557285492,0.0016383921557285492,0
1976,IOWA,"LAROUCHE, LYNDON, JR.",U.S. LABOR,241,1279303,0.018838383088291045,8,0.0015070706470632835,0.0015070706470632835,0
1976,IOWA,"ZEIDLER, FRANK",SOCIALIST U.S.A.,233,1279303,0.0182130425708374,8,0.001457043405666992,0.001457043405666992,0
1976,IOWA,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,160,1279303,0.012506810349072894,8,0.0010005448279258315,0.0010005448279258315,0
1976,KANSAS,"FORD, GERALD",REPUBLICAN,502752,957845,52.487824230433944,7,3.674147696130376,0.6741476961303761,3
1976,KANSAS,"CARTER, JIMMY",DEMOCRAT,430421,957845,44.936393675385894,7,3.1455475572770126,0.14554755727701263,3
1976,KANSAS,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,13185,957845,1.3765275175002218,7,0.09635692622501553,0.09635692622501553,0
1976,KANSAS,"ANDERSON, THOMAS J.",AMERICAN,4724,957845,0.49319044313015153,7,0.034523331019110606,0.034523331019110606,0
1976,KANSAS,"MACBRIDE, ROGER",INDEPENDENT,3242,957845,0.3384681237569753,7,0.023692768662988275,0.023692768662988275,0
1976,KANSAS,"MADDOX, LESTER",CONSERVATIVE,2118,957845,0.22112137141186727,7,0.01547849599883071,0.01547849599883071,0
1976,KANSAS,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,1403,957845,0.1464746383809489,7,0.010253224686666423,0.010253224686666423,0
1976,KENTUCKY,"CARTER, JIMMY",DEMOCRAT,615717,1167142,52.75424926872652,9,4.747882434185387,0.7478824341853869,4
1976,KENTUCKY,"FORD, GERALD",REPUBLICAN,531852,1167142,45.568748275702525,9,4.101187344813227,0.10118734481322722,4
1976,KENTUCKY,"ANDERSON, THOMAS J.",AMERICAN,8308,1167142,0.7118242681695972,9,0.06406418413526374,0.06406418413526374,0
1976,KENTUCKY,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,6837,1167142,0.5857899038848744,9,0.0527210913496387,0.0527210913496387,0
1976,KENTUCKY,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,2328,1167142,0.19946159079186596,9,0.017951543171267934,0.017951543171267934,0
1976,KENTUCKY,"MACBRIDE, ROGER",LIBERTARIAN,814,1167142,0.06974301327516275,9,0.006276871194764647,0.006276871194764647,0
1976,KENTUCKY,"LAROUCHE, LYNDON, JR.",U.S. LABOR,510,1167142,0.043696482518836614,9,0.003932683426695295,0.003932683426695295,0
1976,KENTUCKY,"HALL, GUS",COMMUNIST PARTY USE,426,1167142,0.036499414809851756,9,0.0032849473328866578,0.0032849473328866578,0
1976,KENTUCKY,"CAMEJO, PETER",SOCIALIST WORKERS,350,1167142,0.029987782120770225,9,0.00269890039086932,0.00269890039086932,0
1976,LOUISIANA,"CARTER, JIMMY",DEMOCRAT,661365,1277383,51.77499622274604,10,5.177499622274604,0.17749962227460436,5
1976,LOUISIANA,"FORD, GERALD",REPUBLICAN,587446,1277383,45.9882431502533,10,4.598824315025329,0.598824315025329,4
1976,LOUISIANA,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,10058,1277383,0.7873910957011327,10,0.07873910957011328,0.07873910957011328,0
1976,LOUISIANA,"HALL, GUS",COMMUNIST PARTY USE,7417,1277383,0.5806402621609964,10,0.058064026216099636,0.058064026216099636,0
1976,LOUISIANA,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,6490,1277383,0.5080700150229023,10,0.05080700150229023,0.05080700150229023,0
1976,LOUISIANA,"MACBRIDE, ROGER",LIBERTARIAN,3134,1277383,0.2453453662683784,10,0.02453453662683784,0.02453453662683784,0
1976,LOUISIANA,"CAMEJO, PETER",SOCIALIST WORKERS,1473,1277383,0.11531388784726272,10,0.011531388784726274,0.011531388784726274,0
1976,MAINE,"FORD, GERALD",REPUBLICAN,236320,482968,48.9307780225605,4,1.95723112090242,0.95723112090242,1
1976,MAINE,"CARTER, JIMMY",DEMOCRAT,232279,482968,48.0940766261947,4,1.923763065047788,0.9237630650477879,1
1976,MAINE,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,10874,482968,2.251494923059085,4,0.09005979692236339,0.09005979692236339,0
1976,MAINE,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,3495,482968,0.7236504281857183,4,0.028946017127428735,0.028946017127428735,0
1976,MARYLAND,"CARTER, JIMMY",DEMOCRAT,759612,1432273,53.035419923436386,10,5.303541992343639,0.3035419923436393,5
1976,MARYLAND,"FORD, GERALD",REPUBLICAN,672661,1432273,46.964580076563614,10,4.696458007656361,0.6964580076563607,4
1976,MASSACHUSETTS,"CARTER, JIMMY",DEMOCRAT,1429475,2547558,56.111578225108126,14,7.855620951515138,0.8556209515151378,7
1976,MASSACHUSETTS,"FORD, GERALD",REPUBLICAN,1030276,2547558,40.44170927609891,14,5.661839298653848,0.6618392986538479,5
1976,MASSACHUSETTS,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,65637,2547558,2.576467346376412,14,0.36070542849269766,0.36070542849269766,0
1976,MASSACHUSETTS,"CAMEJO, PETER",SOCIALIST WORKERS,8138,2547558,0.31944316871294,14,0.0447220436198116,0.0447220436198116,0
1976,MASSACHUSETTS,"ANDERSON, THOMAS J.",AMERICAN,7555,2547558,0.296558508187056,14,0.04151819114618784,0.04151819114618784,0
1976,MASSACHUSETTS,"LAROUCHE, LYNDON, JR.",U.S. LABOR,4922,2547558,0.19320462968850954,14,0.027048648156391335,0.027048648156391335,0
1976,MASSACHUSETTS,SCATTERING,WRITE-IN,1401,2547558,0.05499384116082932,14,0.007699137762516104,0.007699137762516104,0
1976,MASSACHUSETTS,"MACBRIDE, ROGER",LIBERTARIAN,135,2547558,0.005299192403077771,14,0.0007418869364308879,0.0007418869364308879,0
1976,MASSACHUSETTS,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,19,2547558,0.0007458122641368714,14,0.000104413716979162,0.000104413716979162,0
1976,MICHIGAN,"FORD, GERALD",REPUBLICAN,1893742,3651590,51.860751070081804,21,10.890757724717178,0.8907577247171776,10
1976,MICHIGAN,"CARTER, JIMMY",DEMOCRAT,1696714,3651590,46.46507411839774,21,9.757665564863524,0.7576655648635242,9
1976,MICHIGAN,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,47905,3651590,1.3118942707149488,21,0.27549779685013925,0.27549779685013925,0
1976,MICHIGAN,"MACBRIDE, ROGER",LIBERTARIAN,5407,3651590,0.1480724834934919,21,0.031095221533633297,0.031095221533633297,0
1976,MICHIGAN,"WRIGHT, MARGARET",HUMAN RIGHTS,3504,3651590,0.095958199031107,21,0.02015122179653247,0.02015122179653247,0
1976,MICHIGAN,"CAMEJO, PETER",SOCIALIST WORKERS,1804,3651590,0.049403136715786826,21,0.010374658710315234,0.010374658710315234,0
1976,MICHIGAN,"LAROUCHE, LYNDON, JR.",U.S. LABOR,1366,3651590,0.03740836183689845,21,0.007855755985748674,0.007855755985748674,0
1976,MICHIGAN,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,1148,3651590,0.03143835972822798,21,0.006602055542927875,0.006602055542927875,0
1976,MINNESOTA,"CARTER, JIMMY",DEMOCRAT,1070440,1949931,54.89630145887213,10,5.489630145887213,0.48963014588721343,5
1976,MINNESOTA,"FORD, GERALD",REPUBLICAN,819395,1949931,42.02174333348206,10,4.202174333348206,0.20217433334820623,4
